 PARTIDO ; DEPARTAMENTO ; NIVEL ; HOJA ; CANDIDATO_1 ; INGRESOS_TOT ; INGRESOS_NET ; FIN_PUB ; FIN_INT ; CES_FON ; FIN_PRIV ; VOTOS ; BANCAS ; PERSONAS ; EMPRESAS ; ANONIMA ; CANDIDATOS ; OTROS ; EGRESOS_TOT ; EGRESOS_NET ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 5.271 ; CARLOS SÁNCHEZ ; 6.000 ; 6.000 ; 6.000 ; -   ; -   ; -   ; 46 ; -   ; -   ; -   ; -   ; -   ; -   ; 700 ; 700 ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 7.373 ; HEBERT CLAVIJO QUIRQUE  ; 108.027 ; -   ; 108.027 ; -   ; 108.027 ; -   ; 1.044 ; -   ; -   ; -   ; -   ; -   ; -   ; 108.027 ; -   ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 90.609 ; JAVIER ERNESTO UMPIERREZ ; 1.819.372 ; 537.780 ; 1.281.593 ; 524.904 ; 1.281.592 ; 12.875 ; 5.023 ; 1 ; -   ; -   ; 12.875 ; -   ; -   ; 1.170.512 ; 568.164 ;;
 FRENTE AMPLIO ; LAVALLEJA ; REPRESENTANTES ; 1.813.800 ; MARIO DIAZ ; 82.788 ; 82.788 ; 30.788 ; 10.000 ; -   ; 42.000 ; 514 ; -   ; -   ; -   ; -   ; 42.000 ; -   ; 75.373 ; 75.373 ;;
 FRENTE AMPLIO ; MALDONADO ; REPRESENTANTES ; 90 ; LEONARDO PEREIRA ; 1.385.229 ; 913.211 ; 472.018 ; 776.502 ; 472.018 ; 136.709 ; 1.850 ; -   ; -   ; -   ; -   ; -   ; 136.709 ; 1.186.007 ; 964.159 ;;
 FRENTE AMPLIO ; MALDONADO ; REPRESENTANTES ; 329 ; GABRIELA MIRAVALLE ; 121.597 ; 121.597 ; 121.597 ; -   ; -   ; -   ; 1.023 ; -   ; -   ; -   ; -   ; -   ; -   ; 20.991 ; 20.991 ;;
 FRENTE AMPLIO ; MALDONADO ; REPRESENTANTES ; 609 ; LUIS HUELMO ; 1.332.446 ; 1.332.446 ; 1.332.446 ; -   ; -   ; -   ; 8.708 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.332.446 ; 1.332.446 ;;
 FRENTE AMPLIO ; MALDONADO ; REPRESENTANTES ; 711 ; VICTOR MADEIRO ; 20.000 ; 227.000 ; 247.000 ; 20.000 ; 247.000 ; -   ; 2.320 ; -   ; -   ; -   ; -   ; -   ; -   ; 20.000 ; (227.000);;
 FRENTE AMPLIO ; MALDONADO ; REPRESENTANTES ; 871 ; RAUL CAMPANELLA ; 8.369 ; -   ; 8.369 ; -   ; 8.369 ; -   ; 82 ; -   ; -   ; -   ; -   ; -   ; -   ; 8.369 ; -   ;;
 FRENTE AMPLIO ; MALDONADO ; REPRESENTANTES ; 939 ; JUAN JOSÉ RODRÍGUEZ ; 130.207 ; 117.745 ; 30.207 ; -   ; 12.462 ; 100.000 ; 296 ; -   ; 100.000 ; -   ; -   ; -   ; -   ; 112.862 ; 100.400 ;;
 FRENTE AMPLIO ; MALDONADO ; REPRESENTANTES ; 959 ; JULIO LUGO ; 73.700 ; 73.700 ; 20.400 ; 37.700 ; -   ; -   ; 200 ; -   ; -   ; -   ; -   ; -   ; -   ; 46.678 ; 46.678 ;;
 FRENTE AMPLIO ; MALDONADO ; REPRESENTANTES ; 1.001 ; OSCAR ANDRADE ; 258.902 ; -   ; 258.902 ; -   ; 258.902 ; -   ; 2.504 ; -   ; -   ; -   ; -   ; -   ; -   ; 258.902 ; -   ;;
